Year,Estimated Population of Voting Age
1930,73623000
1932,75768000
1934,77997000
1936,80174000
1938,82354000
1940,84728000
1942,86465000
1944,85654000
1946,92659000
1948,95573000
1950,98134000
1952,99929000
1954,102075000
1956,104515000
1958,106447000
1960,109672000
1962,112952000
1964,114090000
1966,116638000
1968,120285000
1970,124498000
1972,140777000
1974,146338000
1976,152308000
1978,158369000
1980,163945000
1982,169643000
1984,173995000
1986,177922000
1988,181956000
1990,185812000
1992,189524000
1994,193650000
1996,196511000
1998,200515000
2000,205814000
2002,214557000
2004,215694000
2006,220603000
2008,230917000
