Year,Vote Cast for Presidential Electors Number,Vote Cast for Presidential Electors Percent
1930,,
1932,39758759,52.5
1934,,
1936,45654763,56.9
1938,,
1940,49900418,58.9
1942,,
1944,47976670,56.0
1946,,
1948,48793826,51.1
1950,,
1952,61550918,61.6
1954,,
1956,62026908,59.3
1958,,
1960,68838219,62.8
1962,,
1964,70644592,61.9
1966,,
1968,73211875,60.9
1970,,
1972,77718554,55.2
1974,,
1976,81555889,53.5
1978,,
1980,86515221,52.8
1982,,
1984,92652842,53.3
1986,,
1988,91594809,50.3
1990,,
1992,104425014,55.1
1994,,
1996,96277223,49.0
1998,,
2000,105396627,51.2
2002,,
2004,122295345,56.7
2006,,
2008,131313725,56.9
